Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Downstream tier 1 (ISIC Division/Group/Class),ISIC level used for downstream tier 1 link,Downstream tier 2 (ISIC Division/Group/Class),ISIC level used for downstream tier 2 link
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Civil engineering,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Specialized construction activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Construction of buildings,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Civil engineering,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Specialized construction activities,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Construction of buildings,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Civil engineering,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Manufacture of paper and paper products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Manufacture of paper and paper products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Manufacture of paper and paper products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Manufacture of paper and paper products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,Manufacture of paper and paper products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Mixed farming,ISIC Group,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Post-harvest crop activities,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Seed processing for propagation,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Support activities for crop production,ISIC Class,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of chemicals and chemical products,ISIC Division,Manufacture of chemicals and chemical products,ISIC Division
"Agriculture, forestry and fishing","Crop and animal production, hunting and related service activities",Growing of fibre crops,ISIC Class,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division,Manufacture of basic pharmaceutical products and pharmaceutical preparations,ISIC Division
